subject,issuer,subject_common_name,not_before,not_after,key_size,label
Common Name: bklcBIPVzk,Common Name: xolbzxs,bklcBIPVzk,2025-01-18T13:08:31+00:00,2042-11-14T05:40:48+00:00,1920,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91",fssnet mpay,2011-01-23T13:33:35+00:00,2043-11-07T06:33:37+00:00,948,benign
Common Name: ljRKCxEllEZC,Common Name: ljRKCxEllEZC,ljRKCxEllEZC,2023-10-26T13:08:31+00:00,2047-04-14T05:40:48+00:00,1536,malicious
Common Name: xolbzxs,Common Name: tQPtic,xolbzxs,2023-09-14T13:08:31+00:00,2038-05-31T05:40:48+00:00,1536,malicious
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",fssnet mpay,2022-06-25T13:33:35+00:00,2046-02-17T06:33:37+00:00,2612,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Organizational Unit: Federal Bank,Vivek Soneja,2021-05-07T13:33:35+00:00,2050-10-14T06:33:37+00:00,2868,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",LOTUS,2014-12-14T13:33:35+00:00,2036-07-28T06:33:37+00:00,1588,benign
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",Vivek Soneja,2016-09-23T13:33:35+00:00,2045-08-03T06:33:37+00:00,3060,benign
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",fssnet mpay,2019-12-23T13:33:35+00:00,2051-07-26T06:33:37+00:00,1588,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google Inc., Locality: Mountain View, State/Province: California, Country: US",Organizational Unit: Federal Bank,Android,2016-12-26T13:33:35+00:00,2058-02-07T06:33:37+00:00,1204,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",Paytm,2011-08-19T13:33:35+00:00,2049-02-11T06:33:37+00:00,3188,benign
"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",Common Name: xolbzxs,Android,2023-07-12T13:08:31+00:00,2049-11-30T05:40:48+00:00,1280,malicious
Common Name: tQPtic,Common Name: tQPtic,tQPtic,2021-09-12T13:08:31+00:00,2037-10-22T05:40:48+00:00,1408,malicious
"Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91","Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",ICICI BANK,2012-06-03T13:33:35+00:00,2048-04-24T06:33:37+00:00,628,benign
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91",HDFC Bank,2013-02-21T13:33:35+00:00,2034-12-27T06:33:37+00:00,564,benign
"Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA","Common Name: Dmitrii Barbasura, Organizational Unit: Salt Edge, Organization: Salt Edge Ltd, Locality: Ottawa, State/Province: Ontario, Country: CA",Dmitrii Barbasura,2021-08-31T13:08:31+00:00,2036-02-14T05:40:48+00:00,2048,malicious
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",HDFC Bank,2019-03-12T13:33:35+00:00,2039-02-05T06:33:37+00:00,692,benign
"Common Name: HDFC Bank, Organizational Unit: IT, Organization: Snapwork, Locality: Mumbai, State/Province: MH, Country: 91","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",HDFC Bank,2012-01-29T13:33:35+00:00,2060-02-03T06:33:37+00:00,1908,benign
"Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN","Common Name: ICICI BANK, Organizational Unit: ICICI BANK, Organization: ICICI BANK, Locality: MUMBAI, State/Province: MAHARASHTRA, Country: 91",LOTUS,2012-06-19T13:33:35+00:00,2062-07-20T06:33:37+00:00,2932,benign
Common Name: tQPtic,"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",tQPtic,2023-02-04T13:08:31+00:00,2043-02-08T05:40:48+00:00,1024,malicious
"Common Name: Vivek Soneja, Organizational Unit: PhonePe, Organization: PhonePe, Locality: Bangalore, State/Province: Karnataka, Country: IN",Organizational Unit: Federal Bank,Vivek Soneja,2018-01-30T13:33:35+00:00,2036-07-16T06:33:37+00:00,3316,benign
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",Common Name: bklcBIPVzk,的撒娇好,2022-09-05T13:08:31+00:00,2048-04-26T05:40:48+00:00,1024,malicious
Common Name: PLgkDbhpriL,Common Name: tQPtic,PLgkDbhpriL,2022-06-18T13:08:31+00:00,2037-11-27T05:40:48+00:00,1216,malicious
"Common Name: CodeSigning for STATE BANK OF INDIA, Organizational Unit: Android Code Signing, Organization: STATE BANK OF INDIA, Locality: Navi Mumbai, State/Province: Maharashtra, Country: IN","Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",CodeSigning for STATE BANK OF INDIA,2013-02-13T13:33:35+00:00,2066-04-15T06:33:37+00:00,3188,benign
Common Name: PLgkDbhpriL,Common Name: bklcBIPVzk,PLgkDbhpriL,2021-12-19T13:08:31+00:00,2042-11-20T05:40:48+00:00,960,malicious
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷",Common Name: PLgkDbhpriL,的撒娇好,2022-05-27T13:08:31+00:00,2040-11-11T05:40:48+00:00,1088,malicious
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",AXIS BANK,2019-10-30T13:33:35+00:00,2054-04-01T06:33:37+00:00,1588,benign
"Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",Paytm,2017-01-18T13:33:35+00:00,2039-11-06T06:33:37+00:00,2868,benign
Organizational Unit: Federal Bank,"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN",,2012-05-08T13:33:35+00:00,2063-09-12T06:33:37+00:00,3316,benign
Common Name: ljRKCxEllEZC,"Common Name: Android, Organizational Unit: Android, Organization: Google, Locality: Mountain View, State/Province: California, Country: US",ljRKCxEllEZC,2022-07-18T13:08:31+00:00,2049-10-28T05:40:48+00:00,1280,malicious
"Common Name: BHIM, Organizational Unit: NPCI, Organization: NPCI, Locality: BANGALORE, State/Province: KARNATAKA, Country: IN","Common Name: Bank of Baroda, Organizational Unit: Digital Banking, Organization: Bank of Baroda, Locality: Mumbai, State/Province: Maharashtra, Country: IN",BHIM,2015-10-02T13:33:35+00:00,2037-02-02T06:33:37+00:00,2228,benign
"Common Name: CodeSigning for STATE BANK OF INDIA, Organizational Unit: Android Code Signing, Organization: STATE BANK OF INDIA, Locality: Navi Mumbai, State/Province: Maharashtra, Country: IN","Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91",CodeSigning for STATE BANK OF INDIA,2015-08-19T13:33:35+00:00,2061-01-10T06:33:37+00:00,3700,benign
"Common Name: 的撒娇好, Organizational Unit: 的好姐姐, Organization: 点击, Locality: 大师级, State/Province: 黄金, Country: K:÷","Common Name: axis, Organizational Unit: axis, Organization: axis, Locality: ladakh, State/Province: leh, Country: india",的撒娇好,2023-09-04T13:08:31+00:00,2043-07-05T05:40:48+00:00,1792,malicious
"Common Name: AXIS BANK, Organizational Unit: AXIS BANK, Organization: AXIS BANK, Locality: Mumbai, State/Province: Maharashtra, Country: 91","Common Name: LOTUS, Organizational Unit: SBI GITC, Organization: SBI, Locality: NAVI MUMBAI, State/Province: MAHARASHTRA, Country: IN",AXIS BANK,2022-02-24T13:33:35+00:00,2057-09-21T06:33:37+00:00,2420,benign
"Common Name: fssnet mpay, Organizational Unit: fss, Organization: fss, Locality: chennai, State/Province: tamilnadu, Country: 91","Common Name: Paytm, Organizational Unit: Engineering, Organization: Paytm, Locality: Noida, State/Province: Uttar Pradesh, Country: 91",fssnet mpay,2011-07-14T13:33:35+00:00,2057-10-21T06:33:37+00:00,3188,benign
