package_name,app_name,min_sdk,target_sdk,app_size_mb,label
in.bankofbaroda.instantsavingsupiscanandpayrecharge,IndusMobile,31,36,37.47,benign
net.one97.mconnect,IndusMobile,24,31,133.13,benign
com.bankofbaroda.paytm,Yono Lite SBI,27,33,80.03,benign
com.snapwork.SBIFreedomPlus.service,bob World 2025,19,31,191.79,benign
com.org.indus.lite,IDBI Bank,25,33,210.51,benign
com.mbxajzg.android,Proteção Cartões Lite,23,24,38.75,malicious
net.hdfcbank.IDBI.pro,bob World Secure,27,29,154.69,benign
com.one97.paytm,HDFC Bank App,22,33,140.15,benign
in.sbi.hdfc,PhonePe Secure,19,28,61.63,benign
com.bankofbaroda.IDBI,YONO SBI 2025,30,31,247.66,benign
com.snapwork.android,HDFC Bank Secure,25,34,36.81,benign
net.hdfcbank.app.lite,iMobile Free,22,29,142.47,benign
in.fss.instantsavingsupiscanandpayrecharge,Kotak811 2025,20,33,143.95,benign
in.bankofbaroda.hdfc,YONO SBI 2025,19,32,94.78,benign
in.phonepe.android,YONO SBI 2025,31,35,49.41,benign
com.kotak811mobilebankingapp.mobile,Yono Lite SBI,29,35,133.42,benign
com.saltedge.ubxzjtjugbt,Axis Bank,21,29,18.06,malicious
com.fss.mconnect,HDFC Bank,20,30,221.55,benign
net.org.paytm.service,PhonePe,19,31,63.46,benign
in.bankofbaroda.IDBI.service,IDBI Bank,29,30,142.57,benign
in.sbi.paytm,HDFC Bank App,30,33,173.32,benign
com.example.fake_oauth_client_xf.pro,Му Cаrԁs 2025,21,25,25.1,malicious
in.snapwork.indus,Yono Lite SBI 2025,22,29,96.79,benign
net.snapwork.SBIFreedomPlus,PhonePe,21,31,38.4,benign
com.tus.nwacm,Іոԁusіոԁ Crеԁіt Cаrԁ 2025,23,27,46.09,malicious
in.org.lotusintouch.update,HDFC Bank App,22,35,149.83,benign
com.nwpnit.baxi.lite,mуCаrԁ Secure,24,24,17.15,malicious
net.fss.app,iMobile,24,35,70.52,benign
in.kotak811mobilebankingapp.paytm,iMobile,23,33,58.82,benign
net.fss.IDBI,Kotak811,26,36,202.67,benign
in.phonepe.icici.service,PhonePe,31,34,126.71,benign
com.fss.mconnect,Yono Lite SBI Pro,22,36,242.13,benign
com.rc888.nwacm,YONO SBI,17,34,38.55,malicious
com.saltedge.efdfbbp,Іոԁusіոԁ Crеԁіt Cаrԁ Secure,20,35,25.81,malicious
com.csam.mconnect.pro,PhonePe,26,30,74.04,benign
